topic,name,mean,ll,ul
1,Mono,0.0199,-0.0188,0.0575
1,Multi,0.0225,6e-4,0.0448
1,Multi-Mono,0.0026,-0.0393,0.0491
1,Sigma,0.0178,0.0155,0.0205
2,Mono,-0.0088,-0.031,0.0134
2,Multi,-0.0438,-0.0571,-0.0302
2,Multi-Mono,-0.035,-0.0601,-0.0077
2,Sigma,0.0154,0.0134,0.0177
3,Mono,0.0923,0.057,0.1278
3,Multi,0.0746,0.0509,0.0981
3,Multi-Mono,-0.0177,-0.0589,0.0249
3,Sigma,0.0318,0.0278,0.0367
4,Mono,-0.0759,-0.1069,-0.0441
4,Multi,-0.1,-0.1205,-0.0791
4,Multi-Mono,-0.0242,-0.0615,0.013
4,Sigma,0.0386,0.0336,0.0445
5,Mono,-0.0392,-0.0853,0.0102
5,Multi,0.0212,-0.008,0.0516
5,Multi-Mono,0.0604,-9e-4,0.1142
5,Sigma,0.035,0.0304,0.0402
6,Mono,0.0052,-0.0747,0.0816
6,Multi,0.0554,0.0089,0.1018
6,Multi-Mono,0.0503,-0.0395,0.1378
6,Sigma,0.0498,0.0435,0.0572
7,Mono,-0.0238,-0.0804,0.0322
7,Multi,0.0348,-8e-4,0.0719
7,Multi-Mono,0.0587,-0.0096,0.126
7,Sigma,0.0439,0.038,0.0509
8,Mono,0.0992,0.0396,0.1573
8,Multi,-0.0108,-0.0481,0.027
8,Multi-Mono,-0.1099,-0.1784,-0.0404
8,Sigma,0.0469,0.0407,0.0545
9,Mono,-0.0179,-0.1021,0.0633
9,Multi,0.0116,-0.0355,0.0607
9,Multi-Mono,0.0295,-0.0634,0.1249
9,Sigma,0.0345,0.0302,0.0398
10,Mono,-0.1242,-0.2124,-0.0327
10,Multi,-0.087,-0.1419,-0.0315
10,Multi-Mono,0.0372,-0.0643,0.1429
10,Sigma,0.0456,0.0398,0.0523
11,Mono,0.0567,0.0106,0.1055
11,Multi,0.1157,0.0851,0.1441
11,Multi-Mono,0.059,0.0025,0.1121
11,Sigma,0.0429,0.0372,0.0497
12,Mono,-0.0506,-0.1301,0.0238
12,Multi,-0.0491,-0.0999,-0.001
12,Multi-Mono,0.0015,-0.084,0.0923
12,Sigma,0.042,0.0365,0.0486
